"","year","state","count","straight_percentage","population","percent_pop","weight_percent","per_capita","per_million"
"103",2017,"AL",24,0.0253,5024279,0.0152,0.0253,4.77680479129443e-06,4.77680479129443
"104",2017,"AR",12,0.0126,3011524,0.0091,0.0126,3.98469346417296e-06,3.98469346417296
"105",2017,"AZ",43,0.0453,7151502,0.0216,0.0453,6.01272292170232e-06,6.01272292170232
"106",2017,"CA",150,0.1581,39538223,0.1193,0.1581,3.79379720732517e-06,3.79379720732517
"107",2017,"CO",28,0.0295,5773714,0.0174,0.0295,4.84956476888187e-06,4.84956476888187
"108",2017,"CT",5,0.0053,3605944,0.0109,0.0053,1.38659945911528e-06,1.38659945911528
"109",2017,"DC",2,0.0021,689545,0.0021,0.0021,2.90046334902001e-06,2.90046334902001
"110",2017,"DE",6,0.0063,989948,0.003,0.0063,6.06092441219135e-06,6.06092441219135
"111",2017,"FL",56,0.059,21538187,0.065,0.059,2.60003314113672e-06,2.60003314113672
"112",2017,"GA",29,0.0306,10711908,0.0323,0.0306,2.70726746346216e-06,2.70726746346216
"113",2017,"HI",3,0.0032,1455271,0.0044,0.0032,2.06147171214159e-06,2.06147171214159
"114",2017,"IA",5,0.0053,3190369,0.0096,0.0053,1.5672168329118e-06,1.5672168329118
"115",2017,"ID",6,0.0063,1839106,0.0055,0.0063,3.26245469266046e-06,3.26245469266046
"116",2017,"IL",19,0.02,12812508,0.0387,0.02,1.48292590334383e-06,1.48292590334383
"117",2017,"IN",19,0.02,6785528,0.0205,0.02,2.80007686947869e-06,2.80007686947869
"118",2017,"KS",12,0.0126,2937880,0.0089,0.0126,4.08457799501682e-06,4.08457799501682
"119",2017,"KY",17,0.0179,4505836,0.0136,0.0179,3.77288476544641e-06,3.77288476544641
"120",2017,"LA",19,0.02,4657757,0.0141,0.02,4.07921667016978e-06,4.07921667016978
"121",2017,"MA",3,0.0032,7029917,0.0212,0.0032,4.26747570419395e-07,0.426747570419395
"122",2017,"MD",9,0.0095,6177224,0.0186,0.0095,1.45696513514809e-06,1.45696513514809
"123",2017,"ME",9,0.0095,1362359,0.0041,0.0095,6.60618823672762e-06,6.60618823672762
"124",2017,"MI",13,0.0137,10077331,0.0304,0.0137,1.29002411452001e-06,1.29002411452001
"125",2017,"MN",9,0.0095,5706494,0.0172,0.0095,1.57715052359645e-06,1.57715052359645
"126",2017,"MO",31,0.0327,6154913,0.0186,0.0327,5.03662683777984e-06,5.03662683777983
"127",2017,"MS",15,0.0158,2961279,0.0089,0.0158,5.06537884474918e-06,5.06537884474918
"128",2017,"MT",6,0.0063,1084225,0.0033,0.0063,5.53390670755609e-06,5.53390670755609
"129",2017,"NC",22,0.0232,10439388,0.0315,0.0232,2.10740323091737e-06,2.10740323091737
"130",2017,"ND",3,0.0032,779094,0.0024,0.0032,3.85062649693105e-06,3.85062649693105
"131",2017,"NH",3,0.0032,1377529,0.0042,0.0032,2.17781259051534e-06,2.17781259051534
"132",2017,"NJ",11,0.0116,9288994,0.028,0.0116,1.18419712619041e-06,1.18419712619041
"133",2017,"NM",20,0.0211,2117522,0.0064,0.0211,9.44500222429802e-06,9.44500222429802
"134",2017,"NV",16,0.0169,3104614,0.0094,0.0169,5.15361974145578e-06,5.15361974145578
"135",2017,"NY",15,0.0158,20201249,0.0609,0.0158,7.42528345648331e-07,0.742528345648331
"136",2017,"OH",34,0.0358,11799448,0.0356,0.0358,2.88149072736284e-06,2.88149072736284
"137",2017,"OK",25,0.0263,3959353,0.0119,0.0263,6.3141629453095e-06,6.3141629453095
"138",2017,"OR",12,0.0126,4237256,0.0128,0.0126,2.83202147805089e-06,2.83202147805089
"139",2017,"PA",23,0.0242,13002700,0.0392,0.0242,1.76886338991133e-06,1.76886338991133
"140",2017,"RI",1,0.0011,1097379,0.0033,0.0011,9.11262198383603e-07,0.911262198383603
"141",2017,"SC",12,0.0126,5118425,0.0154,0.0126,2.34447119963661e-06,2.34447119963661
"142",2017,"SD",3,0.0032,886667,0.0027,0.0032,3.38345737464008e-06,3.38345737464008
"143",2017,"TN",26,0.0274,6910840,0.0209,0.0274,3.76220546272233e-06,3.76220546272233
"144",2017,"TX",64,0.0674,29145505,0.0879,0.0674,2.19587891855022e-06,2.19587891855022
"145",2017,"UT",6,0.0063,3271616,0.0099,0.0063,1.83395606330327e-06,1.83395606330327
"146",2017,"VA",22,0.0232,8631393,0.026,0.0232,2.54883539655766e-06,2.54883539655766
"147",2017,"VT",1,0.0011,643077,0.0019,0.0011,1.55502373743735e-06,1.55502373743735
"148",2017,"WA",36,0.0379,7705281,0.0232,0.0379,4.6721203289017e-06,4.6721203289017
"149",2017,"WI",24,0.0253,5893718,0.0178,0.0253,4.07213239588321e-06,4.07213239588321
"150",2017,"WV",11,0.0116,1793716,0.0054,0.0116,6.132520421293e-06,6.132520421293
"151",2017,"WY",1,0.0011,576851,0.0017,0.0011,1.73354991150228e-06,1.73354991150228
"152",2018,"AK",7,0.0075,733391,0.0022,0.0075,9.54470398464121e-06,9.54470398464121
"153",2018,"AL",13,0.0139,5024279,0.0152,0.0139,2.58743592861782e-06,2.58743592861782
"154",2018,"AR",20,0.0214,3011524,0.0091,0.0214,6.64115577362159e-06,6.64115577362159
"155",2018,"AZ",57,0.061,7151502,0.0216,0.061,7.9703536403961e-06,7.9703536403961
"156",2018,"CA",102,0.1092,39538223,0.1193,0.1092,2.57978210098112e-06,2.57978210098112
"157",2018,"CO",39,0.0418,5773714,0.0174,0.0418,6.75475092808546e-06,6.75475092808546
"158",2018,"CT",1,0.0011,3605944,0.0109,0.0011,2.77319891823057e-07,0.277319891823057
"159",2018,"DC",1,0.0011,689545,0.0021,0.0011,1.45023167451e-06,1.45023167451
"160",2018,"FL",63,0.0675,21538187,0.065,0.0675,2.92503728377881e-06,2.92503728377881
"161",2018,"GA",42,0.045,10711908,0.0323,0.045,3.92087011949692e-06,3.92087011949692
"162",2018,"HI",10,0.0107,1455271,0.0044,0.0107,6.87157237380529e-06,6.87157237380529
"163",2018,"IA",9,0.0096,3190369,0.0096,0.0096,2.82099029924125e-06,2.82099029924125
"164",2018,"ID",13,0.0139,1839106,0.0055,0.0139,7.06865183409765e-06,7.06865183409765
"165",2018,"IL",20,0.0214,12812508,0.0387,0.0214,1.56097463509876e-06,1.56097463509876
"166",2018,"IN",18,0.0193,6785528,0.0205,0.0193,2.65270440266402e-06,2.65270440266402
"167",2018,"KS",7,0.0075,2937880,0.0089,0.0075,2.38267049709314e-06,2.38267049709314
"168",2018,"KY",20,0.0214,4505836,0.0136,0.0214,4.43868795934872e-06,4.43868795934872
"169",2018,"LA",15,0.0161,4657757,0.0141,0.0161,3.22043421329193e-06,3.22043421329193
"170",2018,"MA",3,0.0032,7029917,0.0212,0.0032,4.26747570419395e-07,0.426747570419395
"171",2018,"MD",12,0.0128,6177224,0.0186,0.0128,1.94262018019745e-06,1.94262018019745
"172",2018,"ME",3,0.0032,1362359,0.0041,0.0032,2.20206274557587e-06,2.20206274557587
"173",2018,"MI",19,0.0203,10077331,0.0304,0.0203,1.88541985968308e-06,1.88541985968308
"174",2018,"MN",12,0.0128,5706494,0.0172,0.0128,2.10286736479527e-06,2.10286736479527
"175",2018,"MO",20,0.0214,6154913,0.0186,0.0214,3.24943666953538e-06,3.24943666953538
"176",2018,"MS",9,0.0096,2961279,0.0089,0.0096,3.03922730684951e-06,3.03922730684951
"177",2018,"MT",5,0.0054,1084225,0.0033,0.0054,4.61158892296341e-06,4.61158892296341
"178",2018,"NC",23,0.0246,10439388,0.0315,0.0246,2.20319428686816e-06,2.20319428686816
"179",2018,"ND",4,0.0043,779094,0.0024,0.0043,5.13416866257473e-06,5.13416866257473
"180",2018,"NE",1,0.0011,1961504,0.0059,0.0011,5.09812878281156e-07,0.509812878281156
"181",2018,"NH",2,0.0021,1377529,0.0042,0.0021,1.45187506034356e-06,1.45187506034356
"182",2018,"NJ",12,0.0128,9288994,0.028,0.0128,1.29185141038954e-06,1.29185141038954
